voltage,velocity,acceleration
0.000000,0.000000,0.000000
0.060000,0.003925,0.196236
0.120000,0.011209,0.364228
0.180000,0.021370,0.508040
0.240000,0.033993,0.631152
0.300000,0.048724,0.736545
0.360000,0.065259,0.826768
0.420000,0.083339,0.904005
0.480000,0.102742,0.970125
0.540000,0.123277,1.026728
0.600000,0.144780,1.075185
0.660000,0.167114,1.116666
0.720000,0.190157,1.152177
0.780000,0.213809,1.182577
0.840000,0.237981,1.208602
0.900000,0.262598,1.230880
0.960000,0.287597,1.249952
1.020000,0.312923,1.266279
1.080000,0.338528,1.280256
1.140000,0.364372,1.292221
1.200000,0.390422,1.302464
1.260000,0.416646,1.311233
1.320000,0.443021,1.318739
1.380000,0.469524,1.325166
1.440000,0.496138,1.330667
1.500000,0.522845,1.335376
1.560000,0.549634,1.339408
1.620000,0.576491,1.342859
1.680000,0.603407,1.345814
1.740000,0.630374,1.348343
1.800000,0.657384,1.350508
1.860000,0.684431,1.352362
1.920000,0.711510,1.353948
1.980000,0.738616,1.355307
2.040000,0.765746,1.356470
2.100000,0.792895,1.357465
2.160000,0.820061,1.358317
2.220000,0.847242,1.359047
2.280000,0.874436,1.359672
2.340000,0.901640,1.360206
2.400000,0.928853,1.360664
2.460000,0.956074,1.361056
2.520000,0.983302,1.361391
2.580000,1.010536,1.361678
2.640000,1.037774,1.361924
2.700000,1.065017,1.362135
2.760000,1.092263,1.362315
2.820000,1.119512,1.362469
2.880000,1.146764,1.362601
2.940000,1.174019,1.362714
3.000000,1.201275,1.362811
3.060000,1.228533,1.362894
3.120000,1.255792,1.362964
3.180000,1.283053,1.363025
3.240000,1.310314,1.363077
3.300000,1.337577,1.363122
3.360000,1.364840,1.363160
3.420000,1.392104,1.363192
3.480000,1.419368,1.363220
3.540000,1.446633,1.363244
3.600000,1.473898,1.363265
3.660000,1.501164,1.363282
3.720000,1.528430,1.363297
3.780000,1.555696,1.363310
3.840000,1.582962,1.363321
3.900000,1.610229,1.363330
3.960000,1.637496,1.363338
4.020000,1.664763,1.363345
4.080000,1.692030,1.363351
4.140000,1.719297,1.363356
4.200000,1.746564,1.363360
4.260000,1.773831,1.363364
4.320000,1.801099,1.363367
4.380000,1.828366,1.363370
4.440000,1.855634,1.363372
4.500000,1.882901,1.363374
4.560000,1.910169,1.363376
4.620000,1.937436,1.363377
4.680000,1.964704,1.363379
4.740000,1.991971,1.363380
4.800000,2.019239,1.363381
4.860000,2.046507,1.363381
4.920000,2.073774,1.363382
4.980000,2.101042,1.363383
5.040000,2.128309,1.363383
5.100000,2.155577,1.363384
5.160000,2.182845,1.363384
5.220000,2.210113,1.363384
5.280000,2.237380,1.363385
5.340000,2.264648,1.363385
5.400000,2.291916,1.363385
5.460000,2.319183,1.363385
5.520000,2.346451,1.363385
5.580000,2.373719,1.363385
5.640000,2.400986,1.363386
5.700000,2.428254,1.363386
5.760000,2.455522,1.363386
5.820000,2.482790,1.363386
5.880000,2.510057,1.363386
5.940000,2.537325,1.363386
6.000000,2.564593,1.363386
6.060000,2.591860,1.363386
-6.000000,1.825617,-38.312163
-6.000000,1.170378,-32.761953
-6.000000,0.609450,-28.046427
-6.000000,0.129257,-24.009621
-6.000000,-0.281820,-20.553844
-6.000000,-0.633729,-17.595468
-6.000000,-0.934987,-15.062899
-6.000000,-1.192884,-12.894851
-6.000000,-1.413661,-11.038856
-6.000000,-1.602661,-9.450001
-6.000000,-1.764458,-8.089834
-6.000000,-1.902967,-6.925440
-6.000000,-2.021540,-5.928640
-6.000000,-2.123046,-5.075313
-6.000000,-2.209942,-4.344808
-6.000000,-2.284331,-3.719447
-6.000000,-2.348013,-3.184096
-6.000000,-2.402529,-2.725799
-6.000000,-2.449198,-2.333467
-6.000000,-2.489150,-1.997604
-6.000000,-2.523352,-1.710083
-6.000000,-2.552631,-1.463946
-6.000000,-2.577696,-1.253235
-6.000000,-2.599153,-1.072854
-6.000000,-2.617521,-0.918435
-6.000000,-2.633246,-0.786241
-6.000000,-2.646708,-0.673075
-6.000000,-2.658232,-0.576198
-6.000000,-2.668097,-0.493264
-6.000000,-2.676542,-0.422267
-6.000000,-2.683772,-0.361489
-6.000000,-2.689961,-0.309459
-6.000000,-2.695259,-0.264917
-6.000000,-2.699795,-0.226787
-6.000000,-2.703678,-0.194145
-6.000000,-2.707002,-0.166201
-6.000000,-2.709848,-0.142279
-6.000000,-2.712284,-0.121800
-6.000000,-2.714369,-0.104269
-6.000000,-2.716154,-0.089262
-6.000000,-2.717683,-0.076414
-6.000000,-2.718991,-0.065415
-6.000000,-2.720111,-0.056000
-6.000000,-2.721070,-0.047940
-6.000000,-2.721890,-0.041040
-6.000000,-2.722593,-0.035133
-6.000000,-2.723195,-0.030076
-6.000000,-2.723710,-0.025747
-6.000000,-2.724150,-0.022041
-6.000000,-2.724528,-0.018869
-6.000000,-2.724851,-0.016153
-6.000000,-2.725127,-0.013828
-6.000000,-2.725364,-0.011838
-6.000000,-2.725567,-0.010134
-6.000000,-2.725740,-0.008675
-6.000000,-2.725889,-0.007427
-6.000000,-2.726016,-0.006358
-6.000000,-2.726125,-0.005443
-6.000000,-2.726218,-0.004659
