voltage,velocity,acceleration
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.004649,0.000304,0.014492
0.009894,0.000907,0.026930
0.015496,0.001790,0.050837
0.019838,0.002830,0.053437
0.024703,0.004039,0.052870
0.030418,0.005447,0.074073
0.035171,0.006964,0.084141
0.039677,0.008557,0.068544
0.045487,0.010301,0.093127
0.050169,0.012100,0.100510
0.054643,0.013932,0.085917
0.059976,0.015850,0.095590
0.064992,0.017820,0.088181
0.070577,0.019872,0.126147
0.074643,0.021894,0.092016
0.080137,0.023985,0.101056
0.085309,0.026113,0.096362
0.090830,0.028296,0.117398
0.095479,0.030469,0.114616
0.100218,0.032639,0.104706
0.105399,0.034835,0.114616
0.110191,0.037029,0.122981
0.114650,0.039199,0.106929
0.119723,0.041388,0.107801
0.124801,0.043595,0.111985
0.129726,0.045805,0.112563
0.134637,0.048019,0.097534
0.140311,0.050286,0.117124
0.145149,0.052543,0.124997
0.149663,0.054770,0.096899
0.155409,0.057052,0.127311
0.159891,0.059299,0.113146
0.164856,0.061548,0.110314
0.169951,0.063806,0.102288
0.175470,0.066100,0.137281
0.179648,0.068337,0.111932
0.184645,0.070579,0.092550
0.190701,0.072895,0.120347
0.195511,0.075191,0.124006
0.200141,0.077461,0.107869
0.205400,0.079747,0.114607
0.210388,0.082031,0.134279
0.214640,0.084264,0.094487
0.220548,0.086562,0.120950
0.225299,0.088840,0.106554
0.230644,0.091140,0.144146
0.234632,0.093370,0.111320
0.239640,0.095606,0.111734
0.244644,0.097848,0.109339
0.249769,0.100102,0.096519
0.255609,0.102414,0.123921
0.260273,0.104698,0.128427
0.264719,0.106945,0.107668
0.269935,0.109209,0.108483
0.275153,0.111488,0.115655
0.280080,0.113762,0.109961
0.285250,0.116047,0.108288
0.290524,0.118348,0.114715
0.295538,0.120645,0.105586
0.300979,0.122968,0.135488
0.305265,0.125237,0.130131
0.309623,0.127464,0.111047
0.314638,0.129699,0.104002
0.320010,0.131964,0.120782
0.324697,0.134209,0.113836
0.329628,0.136453,0.093789
0.335611,0.138766,0.129856
0.340064,0.141037,0.123914
0.344646,0.143281,0.098217
0.350358,0.145576,0.126339
0.354899,0.147838,0.100898
0.360502,0.150140,0.139891
0.364617,0.152380,0.099689
0.370235,0.154666,0.106128
0.375618,0.156974,0.132968
0.379958,0.159234,0.121094
0.384624,0.161474,0.087065
0.391056,0.163812,0.160534
0.394698,0.166052,0.107381
0.399913,0.168311,0.098970
0.405618,0.170618,0.144058
0.409621,0.172855,0.095293
0.415489,0.175153,0.121860
0.420205,0.177429,0.113853
0.425203,0.179705,0.122627
0.429842,0.181956,0.101164
0.435405,0.184247,0.133144
0.439708,0.186490,0.105893
0.445003,0.188757,0.105628
0.450367,0.191048,0.112090
0.455477,0.193343,0.118777
0.460309,0.195625,0.113665
0.465326,0.197906,0.117257
0.470190,0.200177,0.104689
