voltage,velocity,acceleration
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.005251,0.000343,0.017194
0.010246,0.000964,0.032640
0.015000,0.001807,0.042154
0.019996,0.002855,0.049874
0.025249,0.004095,0.065257
0.030003,0.005468,0.068757
0.034995,0.006970,0.075003
0.040001,0.008584,0.080690
0.045000,0.010292,0.085424
0.049999,0.012081,0.085257
0.055245,0.013956,0.093677
0.060249,0.015888,0.101577
0.065005,0.017853,0.093699
0.070248,0.019879,0.101132
0.075255,0.021940,0.108401
0.080009,0.024016,0.098906
0.085255,0.026136,0.111442
0.090011,0.028262,0.106163
0.095018,0.030409,0.109802
0.099907,0.032568,0.107519
0.104926,0.034743,0.103057
0.110204,0.036951,0.113152
0.115082,0.039161,0.105137
0.120335,0.041395,0.120103
0.124987,0.043613,0.110527
0.130003,0.045839,0.106015
0.135253,0.048089,0.118190
0.140011,0.050326,0.109126
0.145136,0.052576,0.115095
0.150023,0.054822,0.106996
0.155271,0.057088,0.119223
0.160023,0.059338,0.112559
0.165021,0.061592,0.112745
0.170018,0.063848,0.112836
0.175017,0.066106,0.112689
0.180028,0.068368,0.107527
0.185284,0.070647,0.119709
0.190045,0.072910,0.107384
0.195313,0.075192,0.113908
0.200321,0.077472,0.119988
0.205073,0.079736,0.113160
0.210074,0.082001,0.107834
0.215324,0.084283,0.120319
0.220066,0.086547,0.107867
0.225313,0.088828,0.119438
0.230088,0.091093,0.110189
0.235228,0.093369,0.113799
0.240226,0.095643,0.113602
0.245233,0.097918,0.111570
0.250330,0.100199,0.119752
0.255092,0.102463,0.112737
0.260112,0.104730,0.113673
0.265098,0.106997,0.113307
0.270098,0.109264,0.108098
0.275342,0.111548,0.114189
0.280343,0.113830,0.114004
0.285347,0.116112,0.119864
0.290106,0.118376,0.113337
0.295100,0.120641,0.107685
0.300358,0.122923,0.113803
0.305373,0.125206,0.120225
0.310119,0.127470,0.112977
0.315129,0.129736,0.113522
0.320120,0.132003,0.107857
0.325373,0.134286,0.120175
0.330124,0.136552,0.113316
0.335123,0.138819,0.113297
0.340125,0.141087,0.113213
0.345133,0.143355,0.113537
0.350128,0.145625,0.108168
0.355373,0.147910,0.120118
0.360129,0.150178,0.113435
0.365127,0.152446,0.107989
0.370378,0.154731,0.114358
0.375374,0.157014,0.113983
0.380381,0.159296,0.120125
0.385130,0.161560,0.113324
0.390125,0.163825,0.113134
0.395131,0.166092,0.115499
0.400037,0.168353,0.112932
0.405042,0.170616,0.113070
0.410046,0.172881,0.112619
0.415073,0.175148,0.115857
0.419966,0.177410,0.113556
0.424944,0.179671,0.112519
0.429969,0.181936,0.111139
0.435063,0.184207,0.108131
0.440315,0.186496,0.114307
0.445320,0.188782,0.119846
0.450090,0.191052,0.104833
0.455502,0.193348,0.118661
0.460340,0.195631,0.119829
0.465103,0.197896,0.113438
0.470096,0.200163,0.112977
