voltage,velocity,acceleration
0.000000,-0.000000,-0.000014
0.060000,-0.000000,0.000000
0.120000,-0.000000,0.000000
0.180000,-0.000000,0.000000
0.240000,0.005396,0.269810
0.300000,0.010792,0.269811
0.360000,0.010792,0.000000
0.420000,0.021585,0.539621
0.480000,0.032377,0.539621
0.540000,0.032377,0.000000
0.600000,0.043169,0.539621
0.660000,0.043169,0.000000
0.720000,0.059358,0.809431
0.780000,0.075547,0.809431
0.840000,0.075547,0.000000
0.900000,0.097131,1.079242
0.960000,0.124113,1.349052
1.020000,0.124113,0.000000
1.080000,0.156490,1.618863
1.140000,0.183471,1.349052
1.200000,0.183471,0.000000
1.260000,0.221244,1.888674
1.320000,0.221244,0.000000
1.380000,0.259018,1.888674
1.440000,0.302187,2.158484
1.500000,0.302187,0.000000
1.560000,0.350753,2.428296
1.620000,0.393923,2.158484
1.680000,0.393923,0.000000
1.740000,0.437093,2.158484
1.800000,0.474866,1.888676
1.860000,0.474866,0.000000
1.920000,0.523432,2.428293
1.980000,0.561206,1.888674
2.040000,0.561206,0.000000
2.100000,0.609772,2.428296
2.160000,0.609772,0.000000
2.220000,0.647545,1.888674
2.280000,0.690715,2.158484
2.340000,0.690715,0.000000
2.400000,0.733884,2.158487
2.460000,0.771658,1.888672
2.520000,0.771658,0.000000
2.580000,0.814828,2.158484
2.640000,0.852601,1.888674
2.700000,0.852601,0.000000
2.760000,0.901167,2.428296
2.820000,0.901167,0.000000
2.880000,0.938940,1.888672
2.940000,0.982110,2.158484
3.000000,0.982110,0.000000
3.060000,1.019884,1.888672
3.120000,1.068449,2.428287
3.180000,1.068449,0.000000
3.240000,1.117015,2.428299
3.300000,1.165581,2.428293
3.360000,1.165581,0.000000
3.420000,1.208751,2.158481
3.480000,1.246524,1.888674
3.540000,1.246524,0.000000
3.600000,1.289694,2.158481
3.660000,1.289694,0.000000
3.720000,1.338260,2.428293
3.780000,1.386826,2.428299
3.840000,1.386826,0.000000
3.900000,1.424599,1.888669
3.960000,1.462372,1.888669
4.020000,1.462372,0.000000
4.080000,1.500146,1.888674
4.140000,1.543316,2.158487
4.200000,1.543316,0.000000
4.260000,1.586485,2.158481
4.320000,1.586485,0.000000
4.380000,1.629655,2.158487
4.440000,1.672825,2.158487
4.500000,1.672825,0.000000
4.560000,1.710598,1.888669
4.620000,1.748372,1.888674
4.680000,1.748372,0.000000
4.740000,1.791541,2.158481
4.800000,1.834711,2.158481
4.860000,1.834711,0.000000
4.920000,1.877881,2.158487
4.980000,1.915654,1.888680
5.040000,1.915654,0.000000
-5.000000,1.958824,2.158493
-5.000000,1.958824,0.000000
-5.000000,1.877881,-4.047161
-5.000000,1.683617,-9.713179
-5.000000,1.683617,0.000000
-5.000000,1.521731,-8.094311
-5.000000,1.251921,-13.490522
-5.000000,1.251921,0.000000
-5.000000,1.003695,-12.411284
-5.000000,0.760866,-12.141469
-5.000000,0.760866,0.000000
-5.000000,0.518036,-12.141469
-5.000000,0.518036,0.000000
-5.000000,0.248226,-13.490525
-5.000000,0.086339,-8.094315
-5.000000,0.086339,0.000000
-5.000000,0.010792,-3.777347
-5.000000,-0.113320,-6.205641
-5.000000,-0.113320,0.000000
-5.000000,-0.161886,-2.428294
-5.000000,-0.269811,-5.396210
-5.000000,-0.269811,0.000000
-5.000000,-0.410112,-7.015072
-5.000000,-0.571998,-8.094317
-5.000000,-0.571998,0.000000
-5.000000,-0.728488,-7.824504
-5.000000,-0.728488,0.000000
-5.000000,-0.911960,-9.173557
-5.000000,-1.084638,-8.633935
-5.000000,-1.084638,0.000000
-5.000000,-1.262713,-8.903754
-5.000000,-1.424600,-8.094311
-5.000000,-1.424600,0.000000
-5.000000,-1.564901,-7.015073
-5.000000,-1.694410,-6.475449
-5.000000,-1.694410,0.000000
-5.000000,-1.802334,-5.396211
-5.000000,-1.802334,0.000000
-5.000000,-1.910258,-5.396211
-5.000000,-1.991202,-4.047155
-5.000000,-1.991202,0.000000
-5.000000,-2.055956,-3.237718
-5.000000,-2.093729,-1.888669
-5.000000,-2.093729,0.000000
-5.000000,-2.131503,-1.888680
-5.000000,-2.158484,-1.349044
-5.000000,-2.158484,0.000000
-5.000000,-2.180068,-1.079237
-5.000000,-2.196257,-0.809443
-5.000000,-2.196257,0.000000
-5.000000,-2.207050,-0.539625
-5.000000,-2.207050,0.000000
-5.000000,-2.212446,-0.269794
-5.000000,-2.223238,-0.539625
-5.000000,-2.223238,0.000000
-5.000000,-2.234031,-0.539625
-5.000000,-2.239427,-0.269794
-5.000000,-2.239427,0.000000
-5.000000,-2.244823,-0.269818
-5.000000,-2.239427,0.269806
-5.000000,-2.239427,0.000000
-5.000000,-2.250219,-0.539625
-5.000000,-2.250219,0.000000
