voltage,velocity,acceleration
0.000000,-0.000003,-0.000143
0.060000,-0.000003,0.000000
0.120000,-0.000003,0.000000
0.180000,-0.000003,0.000000
0.240000,0.005393,0.269810
0.300000,0.005393,0.000000
0.360000,0.010790,0.269810
0.420000,0.016186,0.269811
0.480000,0.016186,0.000000
0.540000,0.026978,0.539621
0.600000,0.037771,0.539621
0.660000,0.037771,0.000000
0.720000,0.053959,0.809431
0.780000,0.075544,1.079242
0.840000,0.075544,0.000000
0.900000,0.102525,1.349052
0.960000,0.102525,0.000000
1.020000,0.129506,1.349052
1.080000,0.161883,1.618864
1.140000,0.161883,0.000000
1.200000,0.199657,1.888674
1.260000,0.237430,1.888674
1.320000,0.237430,0.000000
1.380000,0.280600,2.158485
1.440000,0.323770,2.158485
1.500000,0.323770,0.000000
1.560000,0.366939,2.158484
1.620000,0.366939,0.000000
1.680000,0.410109,2.158482
1.740000,0.453279,2.158484
1.800000,0.453279,0.000000
1.860000,0.496448,2.158485
1.920000,0.534222,1.888673
1.980000,0.534222,0.000000
2.040000,0.577392,2.158484
2.100000,0.620561,2.158481
2.160000,0.620561,0.000000
2.220000,0.658335,1.888674
2.280000,0.701504,2.158484
2.340000,0.701504,0.000000
2.400000,0.739278,1.888674
2.460000,0.739278,0.000000
2.520000,0.777051,1.888672
2.580000,0.814825,1.888674
2.640000,0.814825,0.000000
2.700000,0.863391,2.428293
2.760000,0.901164,1.888672
2.820000,0.901164,0.000000
2.880000,0.944334,2.158484
2.940000,0.987503,2.158484
3.000000,0.987503,0.000000
3.060000,1.025277,1.888672
3.120000,1.025277,0.000000
3.180000,1.068447,2.158481
3.240000,1.111616,2.158481
3.300000,1.111616,0.000000
3.360000,1.160182,2.428299
3.420000,1.203352,2.158487
3.480000,1.203352,0.000000
3.540000,1.246522,2.158487
3.600000,1.284295,1.888674
3.660000,1.284295,0.000000
3.720000,1.322068,1.888669
3.780000,1.365238,2.158481
3.840000,1.365238,0.000000
3.900000,1.408408,2.158493
3.960000,1.408408,0.000000
4.020000,1.456974,2.428287
4.080000,1.489351,1.618862
4.140000,1.489351,0.000000
4.200000,1.527124,1.888674
4.260000,1.564898,1.888674
4.320000,1.564898,0.000000
4.380000,1.613464,2.428293
4.440000,1.662030,2.428299
4.500000,1.662030,0.000000
4.560000,1.705199,2.158481
4.620000,1.705199,0.000000
4.680000,1.742973,1.888674
4.740000,1.780746,1.888669
4.800000,1.780746,0.000000
4.860000,1.823916,2.158487
4.920000,1.867086,2.158481
4.980000,1.867086,0.000000
5.040000,1.915651,2.428287
-5.000000,1.937236,1.079243
-5.000000,1.937236,0.000000
-5.000000,1.764557,-8.633935
-5.000000,1.581086,-9.173554
-5.000000,1.581086,0.000000
-5.000000,1.354446,-11.332041
-5.000000,1.354446,0.000000
-5.000000,1.117012,-11.871660
-5.000000,0.884975,-11.601850
-5.000000,0.884975,0.000000
-5.000000,0.658335,-11.332041
-5.000000,0.393920,-13.220714
-5.000000,0.393920,0.000000
-5.000000,0.140298,-12.681093
-5.000000,0.064751,-3.777347
-5.000000,0.064751,0.000000
-5.000000,-0.026984,-4.586778
-5.000000,-0.026984,0.000000
-5.000000,-0.091739,-3.237726
-5.000000,-0.178078,-4.316968
-5.000000,-0.178078,0.000000
-5.000000,-0.296795,-5.935831
-5.000000,-0.453285,-7.824504
-5.000000,-0.453285,0.000000
-5.000000,-0.598982,-7.284883
-5.000000,-0.771661,-8.633932
-5.000000,-0.771661,0.000000
-5.000000,-0.949736,-8.903748
-5.000000,-1.127811,-8.903745
-5.000000,-1.127811,0.000000
-5.000000,-1.300490,-8.633935
-5.000000,-1.300490,0.000000
-5.000000,-1.462376,-8.094311
-5.000000,-1.602677,-7.015073
-5.000000,-1.602677,0.000000
-5.000000,-1.732186,-6.475449
-5.000000,-1.840110,-5.396211
-5.000000,-1.840110,0.000000
-5.000000,-1.921054,-4.047155
-5.000000,-1.991204,-3.507537
-5.000000,-1.991204,0.000000
-5.000000,-2.039770,-2.428305
-5.000000,-2.039770,0.000000
-5.000000,-2.077544,-1.888669
-5.000000,-2.104525,-1.349056
-5.000000,-2.104525,0.000000
-5.000000,-2.126110,-1.079249
-5.000000,-2.136902,-0.539625
-5.000000,-2.136902,0.000000
-5.000000,-2.147695,-0.539625
-5.000000,-2.163883,-0.809431
-5.000000,-2.163883,0.000000
-5.000000,-2.169280,-0.269818
-5.000000,-2.174676,-0.269806
-5.000000,-2.174676,0.000000
-5.000000,-2.180072,-0.269818
-5.000000,-2.180072,0.000000
-5.000000,-2.185469,-0.269818
-5.000000,-2.185469,0.000000
-5.000000,-2.185469,0.000000
-5.000000,-2.190865,-0.269806
-5.000000,-2.190865,0.000000
-5.000000,-2.190865,0.000000
